ligand,receptor,truelabel,pred
LIN7C,KCNJ4,0,0,0.0000
LPL,LRP2,0,0,0.0000
LPL,VLDLR,0,0,0.0000
LRPAP1,LDLR,0,0,0.0000
LRPAP1,LRP2,0,0,0.0000
LRPAP1,LRP8,0,0,0.0000
LRPAP1,VLDLR,0,0,0.0000
LTA,EDNRA,0,0,0.5184
LTA,TNFRSF1A,0,0,0.0000
LTBP1,ITGB5,0,0,0.0000
LTB,LTBR,0,0,0.0000
LTF,GPR162,0,0,0.0282
LTF,TFRC,0,0,0.0000
MADCAM1,CD44,0,0,0.0000
MADCAM1,ITGB7,0,0,0.0000
MATN1,ITGA1,0,0,0.0000
MATN1,ITGB1,0,0,0.0000
MBL2,CALCR,0,0,0.2852
MBL2,CD93,0,0,0.0509
MDK,ITGB1,0,0,0.0000
MDK,LRP2,0,0,0.0000
MDK,SDC3,0,0,0.0000
MFAP2,NOTCH1,0,0,0.0000
MFGE8,ITGAV,0,0,0.3599
MFGE8,ITGB3,0,0,0.6716
MFGE8,PDGFRB,0,1,0.9387
MFI2,TFRC,0,0,0.0000
MLLT4,EPHB2,0,0,0.6983
MLLT4,EPHB6,0,0,0.0000
MLLT4,F11R,0,0,0.2297
MLLT4,NECTIN3,0,0,0.0000
MLLT4,NECTIN4,0,0,0.5399
MLLT4,NRXN2,0,0,0.0000
MLLT4,NRXN3,0,0,0.0000
MLN,MLNR,0,0,0.0000
MMP7,CD151,0,0,0.0000
MMP7,CD44,0,0,0.0000
MMP7,ERBB4,0,0,0.0000
MYOC,FZD1,0,0,0.0000
MYOC,FZD10,0,0,0.0000
MYOC,FZD3,0,0,0.0000
MYOC,FZD4,0,0,0.0000
NCAM1,GFRA1,0,0,0.0000
NCAN,SDC3,0,0,0.0000
NDP,FZD4,0,0,0.0000
NGF,KIDINS220,0,0,0.0000
NGF,NGFR,0,0,0.0000
NGF,SORT1,0,0,0.0000
NID1,ITGAV,0,0,0.8712
NID1,ITGB3,0,0,0.0000
NID1,PTPRF,0,0,0.0000
NLGN1,NRXN1,0,0,0.0000
NLGN1,NRXN3,0,0,0.0000
NLGN2,NRXN2,0,0,0.0000
NLGN2,NRXN3,0,0,0.0000
NLGN3,NRXN3,0,0,0.0078
NMB,BRS3,0,0,0.3611
NMB,GRPR,0,0,0.0000
NMB,NMBR,0,0,0.0000
NMS,ADRA2A,0,1,0.9754
NMS,MTNR1A,0,0,0.0000
NMS,NMUR1,0,0,0.0135
NMS,NMUR2,0,0,0.0007
NMU,GRM7,0,0,0.0000
NMU,MTNR1A,0,0,0.0000
NMU,NMUR2,0,0,0.0000
NPB,MTNR1A,0,0,0.0000
NPFF,NPFFR2,0,0,0.0000
NPNT,ITGB1,0,0,0.0000
NPPB,NPR1,0,1,0.9116
NPPB,NPR2,0,0,0.2229
NPPB,NPR3,0,0,0.3557
NPPC,NPR2,0,0,0.1550
NPS,ADRB2,0,0,0.1362
NPS,ADRB3,0,0,0.0000
NPS,NPSR1,0,0,0.3003
NPS,RAMP2,0,0,0.0211
NPS,RAMP3,0,0,0.0000
NPS,VIPR1,0,0,0.0011
NPW,MTNR1A,0,0,0.0007
NPW,NPBWR1,0,0,0.6874
NPW,NPBWR2,0,0,0.7089
NPY,FAP,0,0,0.7675
NPY,GRM7,0,0,0.0000
NPY,NPY2R,0,0,0.0273
NTF4,NGFRAP1,0,0,0.0000
NTN4,DCC,0,0,0.0000
NTS,NGFR,0,0,0.0000
NTS,NTSR1,0,0,0.0000
OBP2A,OR1G1,0,0,0.0000
OLAH,MOG,0,0,0.6033
OMG,NGFR,0,0,0.0000
OSM,IL6ST,0,0,0.0000
OSM,LIFR,0,0,0.4722
OXT,AVPR1A,0,0,0.0000
P4HB,GPR162,0,0,0.6839
PAPLN,SIRPA,0,0,0.0000
PDGFB,LRP1,0,0,0.0482
PDGFB,S1PR1,0,0,0.2526
PDGFC,FLT4,0,0,0.0000
PDGFC,PDGFRA,0,0,0.0000
PDGFD,PDGFRA,0,0,0.3622
PDGFD,PDGFRB,0,0,0.7659
PDX1,SLC2A2,0,0,0.0000
PDYN,GRM7,0,0,0.0000
PDYN,OPRD1,0,0,0.1411
PENK,GRM7,0,0,0.0581
PENK,MRGPRX1,0,0,0.2125
PENK,MTNR1A,0,0,0.0000
PF4,FGFR2,0,0,0.0000
PF4,GRM7,0,0,0.2634
PF4,LDLR,0,0,0.0000
PF4,MTNR1A,0,1,0.9017
PF4,PROCR,0,0,0.0000
PF4,SDC2,0,0,0.0000
PGF,NRP1,0,0,0.0000
PI3,PLD2,0,0,0.0000
PIP,NPTN,0,0,0.0000
PLA2G10,PLA2R1,0,0,0.2844
PLAU,IGF2R,0,0,0.0145
PLAU,ITGA3,0,0,0.0531
PLAU,ITGA5,0,0,0.0000
PLAU,ITGAM,0,0,0.2235
PLAU,ITGAV,0,0,0.0089
PLAU,ITGB1,0,0,0.0000
PLAU,ITGB5,0,0,0.0504
PLAU,LRP2,0,0,0.0000
PLG,F2RL1,0,0,0.6830
PLG,F3,0,0,0.0022
PLG,FLT1,0,0,0.0269
PLG,ITGA9,0,0,0.7562
PLG,ITGB1,0,0,0.0000
PLG,ITGB2,0,0,0.0000
SEMA4A,PLXNB2,0,0,0.0000
SEMA4A,PLXNB3,0,0,0.0238
PMCH,ADRA2A,0,0,0.8285
PMCH,GRM7,0,0,0.0000
PMCH,MCHR1,0,0,0.3525
PMCH,MTNR1A,0,0,0.4267
PNOC,MTNR1A,0,0,0.0000
PNOC,OPRL1,0,0,0.0000
POMC,ADCYAP1R1,0,0,0.0147
POMC,GPR20,0,0,0.0000
POMC,GRM7,0,0,0.0145
POMC,MC3R,0,1,0.9482
POMC,MTNR1A,0,0,0.0000
POMC,OPRD1,0,0,0.0000
POMC,RAMP2,0,0,0.0000
POMC,RAMP3,0,0,0.0000
PPY,ADRA2A,0,0,0.0000
PPY,GRM7,0,0,0.0000
PPY,MTNR1A,0,0,0.6008
PPY,NPY1R,0,0,0.0000
PRLH,PRLHR,0,0,0.0000
PRND,RPSA,0,0,0.0456
PROC,ITGAM,0,0,0.0317
PROC,ITGB2,0,0,0.0000
PROC,PROCR,0,0,0.3208
PROC,THBD,0,0,0.0010
PROK1,PROKR2,0,0,0.0000
PROS1,TYRO3,0,0,0.1186
PSAP,CD1B,0,0,0.0200
PSEN1,NCSTN,0,0,0.8336
PSEN1,NOTCH1,0,0,0.0000
PSEN1,NOTCH2,0,0,0.0000
PSPN,GFRA1,0,0,0.7220
PSPN,GFRA2,0,0,0.0000
PSPN,GFRA3,0,0,0.3588
PSPN,GFRA4,0,0,0.5861
PSPN,RET,0,0,0.3352
PSPN,SDC3,0,0,0.0000
PTDSS1,JMJD6,0,0,0.0000
PTGS2,ALOX5,0,0,0.0000
PTH2,ADCYAP1R1,0,0,0.0000
PTH2,ADRB3,0,0,0.4557
PTH2,GPR20,0,0,0.0000
PTH2,PTH1R,0,0,0.0000
PTH2,TSHR,0,0,0.0000
PTHLH,ADCYAP1R1,0,0,0.1929
PTHLH,ADRB2,0,0,0.0000
PTHLH,GPR84,0,0,0.0000
PTHLH,PRLHR,0,0,0.4700
PTHLH,RAMP2,0,0,0.0000
PTHLH,TSHR,0,0,0.5332
PTN,SDC1,0,0,0.0000
PTN,SDC3,0,0,0.1062
PVR,CD226,0,0,0.0183
PVR,CD96,0,0,0.0000
PVR,TIGIT,0,0,0.0000
PYY,ADRA2A,0,0,0.0000
PYY,MTNR1A,0,0,0.6008
PYY,NPY2R,0,0,0.1057
RAET1E,KLRK1,0,0,0.0000
RBP4,STRA6,0,0,0.3542
RELN,ITGA3,0,0,0.0047
RELN,ITGB1,0,0,0.0000
RELN,VLDLR,0,0,0.2606
RIMS1,CACNA1C,0,0,0.6872
RIMS1,SLC17A7,0,0,0.8778
RLN2,ADRB2,0,0,0.0000
RLN2,ADRB3,0,0,0.3710
RLN2,GPR20,0,0,0.0000
RLN2,GPR84,0,0,0.4903
RLN2,PTH1R,0,0,0.0000
RLN2,VIPR1,0,0,0.0000
RLN3,ADCYAP1R1,0,0,0.0000
RLN3,ADRA2A,0,0,0.0000
RLN3,ADRB2,0,0,0.0000
RLN3,GRM7,0,0,0.0000
RLN3,MTNR1A,0,0,0.0000
RLN3,PTH1R,0,0,0.0000
RLN3,RAMP2,0,0,0.0000
RLN3,RAMP3,0,1,0.9840
RLN3,RXFP1,0,0,0.0000
RLN3,RXFP4,0,0,0.1657
RNASE2,TLR2,0,0,0.0000
RPS27A,ERBB2,0,0,0.0000
RPS27A,RIPK1,0,0,0.0000
RPS27A,SMAD3,0,0,0.0000
RPS27A,TGFBR2,0,0,0.2249
RSPO1,FZD8,0,0,0.0000
RSPO1,LGR6,0,0,0.0000
RSPO1,LRP6,0,1,0.9890
RSPO3,FZD8,0,0,0.0000
RSPO3,LGR5,0,0,0.0000
RSPO3,LGR6,0,0,0.0000
RTN4,CNTNAP1,0,1,0.9128
RTN4,LINGO1,0,1,0.9050
RTN4,NGFR,0,0,0.8415
SAA1,FPR1,0,0,0.0000
SAA1,GRM7,0,0,0.1175
SCGB3A1,MARCO,0,0,0.1173
SCT,ADCYAP1R1,0,0,0.0000
SCT,ADRB2,0,0,0.0000
SCT,ADRB3,0,0,0.0000
SCT,RAMP3,0,0,0.0143
SELPLG,ESAM,0,0,0.0000
SELPLG,SELE,0,0,0.0000
SELPLG,SELL,0,0,0.0000
SELPLG,SELP,0,0,0.0000
SEMA3A,PLXNA2,0,0,0.0000
SEMA3A,PLXNA4,0,0,0.0000
SEMA3C,NRP1,0,0,0.0000
SEMA3C,NRP2,0,0,0.0000
SEMA3F,NRP1,0,0,0.6553
SEMA3F,NRP2,0,0,0.0000
SEMA3F,PLXNA1,0,0,0.0000
SEMA3F,PLXNA3,0,0,0.0822
SEMA4A,PLXND1,0,0,0.0000
SEMA4D,MET,0,0,0.0000
SEMA4D,PLXNB2,0,0,0.0000
SEMA5A,MET,0,0,0.0022
SEMA6D,KDR,0,0,0.0000
SEMA6D,PLXNA1,0,0,0.0000
SEMA7A,ITGA1,0,0,0.0301
SEMA7A,ITGB1,0,0,0.0000
SEMA7A,PLXNC1,0,0,0.0000
SERPING1,LRP1,0,0,0.0000
SERPING1,SELP,0,0,0.0000
SFRP1,FZD2,0,0,0.0000
SHH,SMO,0,0,0.0000
SLIT1,ROBO1,0,0,0.0086
SLIT2,DCC,0,0,0.0000
SLIT2,ROBO1,0,0,0.0000
SLIT2,SDC1,0,0,0.0000
SLIT3,ROBO2,0,0,0.5487
SOST,LRP5,0,0,0.0094
SPP1,CD44,0,0,0.0000
SPP1,ITGAV,0,0,0.0000
SPP1,S1PR1,0,0,0.0000
SST,ADRA2A,0,0,0.0000
SST,GRM7,0,0,0.0000
SST,MTNR1A,0,0,0.7855
TAC1,TACR1,0,0,0.0000
TAC3,TACR1,0,0,0.2725
TAC3,TACR2,0,0,0.0000
TAC3,TACR3,0,0,0.3763
TAC4,TACR2,0,0,0.0000
TAC4,TACR3,0,0,0.4544
TCN2,CNR1,0,0,0.0000
TCTN1,TMEM67,0,0,0.1582
TF,TFRC,0,0,0.0000
TGFB1,CAV1,0,0,0.6886
TGFB1,CXCR4,0,0,0.0000
TGFB1,ITGAV,0,0,0.0000
TGFB1,ITGB6,0,0,0.0000
TGFB1,SDC2,0,1,0.9898
TGFB1,SMAD3,0,0,0.0000
TGFB1,TGFBR3,0,0,0.0000
TGFB2,ENG,0,0,0.0000
TGFB2,TGFBR3,0,0,0.0000
TGM2,ITGA9,0,0,0.0452
TGM2,ITGB1,0,0,0.0000
TGM2,SDC4,0,0,0.5987
THBS1,CD36,0,0,0.0128
THBS1,ITGA6,0,0,0.0070
THBS1,ITGB3,0,0,0.0188
THBS1,SDC1,0,0,0.1786
THPO,MPL,0,0,0.5048
TIMP1,CD63,0,0,0.0000
TNC,ITGA9,0,0,0.7212
TNC,ITGB6,0,0,0.0000
TNC,SDC4,0,0,0.0000
TNFSF10,TNFRSF10A,0,0,0.0069
TNFSF10,TNFRSF10D,0,0,0.0244
TNFSF11,TNFRSF11A,0,0,0.0753
TNFSF11,TNFRSF11B,0,0,0.0000
TNFSF12,TNFRSF25,0,0,0.6202
TNFSF12,TNFRSF8,0,0,0.7615
TNFSF13B,TNFRSF13B,0,0,0.0000
TNFSF13B,TNFRSF13C,0,0,0.0237
TNFSF13B,TNFRSF17,0,0,0.0000
TNFSF13,FAS,0,0,0.0000
TNFSF13,TNFRSF11B,0,0,0.0000
TNFSF14,TNFRSF14,0,0,0.0000
TNFSF14,TNFRSF6B,0,0,0.0000
TNFSF18,TNFRSF18,0,0,0.0000
TNFSF4,TNFRSF4,0,0,0.2470
TNFSF4,TRAF2,0,0,0.0025
TNFSF9,TRAF2,0,0,0.2085
TNF,RIPK1,0,0,0.4289
TNF,SLC5A11,0,0,0.0000
TNF,TNFRSF21,0,0,0.0405
TPH1,HTR5A,0,0,0.0000
TRH,TRHR,0,0,0.3996
TSLP,IL7R,0,0,0.0000
UCN2,CRHR1,0,0,0.3047
UCN2,CRHR2,0,0,0.2026
UCN2,IL10RB,0,0,0.0000
VCAM1,ITGAD,0,0,0.0000
VCAM1,ITGB1,0,0,0.0000
VCAM1,ITGB7,0,0,0.0000
VEGFA,EPHB2,0,0,0.0012
VEGFA,GPC1,0,0,0.8922
VEGFA,ITGA9,0,0,0.0000
VEGFA,ITGAV,0,0,0.0000
VEGFA,ITGB3,0,0,0.0574
VEGFA,KDR,0,0,0.0000
VEGFA,NRP1,0,0,0.1358
VEGFA,NRP2,0,0,0.0000
VEGFA,RET,0,0,0.0000
VEGFA,SIRPA,0,0,0.0231
VEGFA,TYRO3,0,0,0.0000
VEGFC,KDR,0,0,0.0000
VEGFC,LYVE1,0,0,0.8088
VEGFC,VIPR2,0,1,0.9638
VIM,CD44,0,0,0.0336
WNT16,FZD6,0,0,0.3107
WNT1,FZD1,0,0,0.0000
WNT1,FZD7,0,0,0.0000
WNT1,FZD9,0,0,0.0000
WNT1,LRP5,0,0,0.0000
WNT1,RYK,0,0,0.0000
WNT2,FZD7,0,0,0.1029
WNT2,FZD8,0,0,0.1036
WNT2,FZD9,0,0,0.0811
WNT2,LRP6,0,0,0.4882
WNT3A,APCDD1,0,0,0.0711
WNT3A,FZD6,0,0,0.0000
WNT3A,FZD8,0,0,0.0000
WNT3A,LRP1,0,0,0.0000
WNT3A,RYK,0,0,0.0000
WNT3,FZD8,0,0,0.0000
WNT3,LRP6,0,0,0.4110
WNT5A,ADRB2,0,0,0.0000
WNT5A,FZD1,0,0,0.2280
WNT5A,FZD2,0,0,0.2227
WNT5A,FZD7,0,0,0.0000
WNT5A,FZD8,0,0,0.0000
WNT5A,LDLR,0,0,0.0132
WNT5A,LRP2,0,0,0.0721
WNT5A,MCAM,0,0,0.0000
WNT5A,ROR2,0,0,0.4939
WNT5A,RYK,0,0,0.2222
ZG16B,CXCR4,0,0,0.0000
ZG16B,TLR2,0,0,0.0000
ZG16B,TLR5,0,0,0.0000
MTf,PLG,0,0,0.2375
FYN,SPN,0,0,0.8884
TP53,TNFRSF10D,0,1,0.9961
SHP2,FCRL4,0,0,0.0000
TYROBP,TREM1,0,0,0.0103
FYN,THY1,0,0,0.4360
SYK,FCGR2A,0,0,0.2756
LGALS1,PTPRC,0,0,0.0000
SFTPD,SIRPA,0,0,0.0098
CD6,ALCAM,0,0,0.1139
ITGB2,THY1,0,0,0.8946
CD48,CD244,0,0,0.3214
CEACAM1,CD209,0,1,0.9241
DLL4,NOTCH3,0,0,0.0042
NECTIN2,NECTIN3,0,0,0.0788
DSC2,DSG2,0,0,0.0000
FCER2,CR2,0,0,0.1388
WNT5A,FZD3,0,0,0.0000
CEACAM5,CD8A,0,0,0.0000
CD274,CD80,0,0,0.0000
HLA-F,LILRB2,0,0,0.0000
CD47,SIRPG,0,0,0.0590
WNT2,FZD4,0,0,0.0875
CD200,CD200R1,0,0,0.2640
