ligand,receptor,truelabel,pred
LIN7C,KCNJ4,0,0,0.0213
LPL,LRP2,0,0,0.0352
LPL,VLDLR,0,0,0.6723
LRPAP1,LDLR,0,0,0.4298
LRPAP1,LRP2,0,0,0.1212
LRPAP1,LRP8,0,0,0.4680
LRPAP1,VLDLR,0,0,0.3993
LTA,EDNRA,0,0,0.4695
LTA,TNFRSF1A,0,0,0.4207
LTBP1,ITGB5,0,0,0.4323
LTB,LTBR,0,0,0.3718
LTF,GPR162,0,0,0.1616
LTF,TFRC,0,0,0.4623
MADCAM1,CD44,0,0,0.1760
MADCAM1,ITGB7,0,0,0.2763
MATN1,ITGA1,0,0,0.4587
MATN1,ITGB1,0,0,0.0634
MBL2,CALCR,0,0,0.4845
MBL2,CD93,0,0,0.4476
MDK,ITGB1,0,0,0.6854
MDK,LRP2,0,0,0.4576
MDK,SDC3,0,0,0.5839
MFAP2,NOTCH1,0,0,0.5098
MFGE8,ITGAV,0,0,0.2765
MFGE8,ITGB3,0,0,0.1150
MFGE8,PDGFRB,0,0,0.1887
MFI2,TFRC,0,0,0.4956
MLLT4,EPHB2,0,0,0.3526
MLLT4,EPHB6,0,0,0.7456
MLLT4,F11R,0,0,0.0754
MLLT4,NECTIN3,0,0,0.4906
MLLT4,NECTIN4,0,0,0.4731
MLLT4,NRXN2,0,0,0.2937
MLLT4,NRXN3,0,0,0.4249
MLN,MLNR,0,0,0.1320
MMP7,CD151,0,0,0.2319
MMP7,CD44,0,0,0.2218
MMP7,ERBB4,0,0,0.8302
MYOC,FZD1,0,0,0.4911
MYOC,FZD10,0,0,0.2096
MYOC,FZD3,0,0,0.3791
MYOC,FZD4,0,0,0.1116
NCAM1,GFRA1,0,0,0.4770
NCAN,SDC3,0,0,0.4400
NDP,FZD4,0,0,0.2889
NGF,KIDINS220,0,0,0.7044
NGF,NGFR,0,0,0.5540
NGF,SORT1,0,0,0.2032
NID1,ITGAV,0,0,0.5586
NID1,ITGB3,0,0,0.2978
NID1,PTPRF,0,0,0.0619
NLGN1,NRXN1,0,0,0.2605
NLGN1,NRXN3,0,0,0.7580
NLGN2,NRXN2,0,0,0.3394
NLGN2,NRXN3,0,0,0.5248
NLGN3,NRXN3,0,0,0.4101
NMB,BRS3,0,1,0.9781
NMB,GRPR,0,0,0.0009
NMB,NMBR,0,0,0.0656
NMS,ADRA2A,0,0,0.6568
NMS,MTNR1A,0,0,0.0769
NMS,NMUR1,0,0,0.0098
NMS,NMUR2,0,0,0.1943
NMU,GRM7,0,0,0.5831
NMU,MTNR1A,0,0,0.1215
NMU,NMUR2,0,0,0.4403
NPB,MTNR1A,0,0,0.5411
NPFF,NPFFR2,0,0,0.6482
NPNT,ITGB1,0,0,0.3432
NPPB,NPR1,0,0,0.7045
NPPB,NPR2,0,0,0.1760
NPPB,NPR3,0,0,0.6074
NPPC,NPR2,0,0,0.2950
NPS,ADRB2,0,0,0.7140
NPS,ADRB3,0,0,0.4072
NPS,NPSR1,0,0,0.3626
NPS,RAMP2,0,0,0.5764
NPS,RAMP3,0,0,0.4436
NPS,VIPR1,0,0,0.3765
NPW,MTNR1A,0,0,0.2616
NPW,NPBWR1,0,0,0.5113
NPW,NPBWR2,0,0,0.4846
NPY,FAP,0,0,0.3502
NPY,GRM7,0,0,0.5170
NPY,NPY2R,0,0,0.6089
NTF4,NGFRAP1,0,0,0.2018
NTN4,DCC,0,0,0.2166
NTS,NGFR,0,0,0.0729
NTS,NTSR1,0,0,0.3556
OBP2A,OR1G1,0,0,0.0390
OLAH,MOG,0,0,0.2866
OMG,NGFR,0,0,0.7748
OSM,IL6ST,0,0,0.6100
OSM,LIFR,0,0,0.5416
OXT,AVPR1A,0,0,0.6256
P4HB,GPR162,0,0,0.8550
PAPLN,SIRPA,0,0,0.7389
PDGFB,LRP1,0,0,0.5622
PDGFB,S1PR1,0,0,0.6923
PDGFC,FLT4,0,0,0.3489
PDGFC,PDGFRA,0,0,0.6501
PDGFD,PDGFRA,0,0,0.2573
PDGFD,PDGFRB,0,0,0.3959
PDX1,SLC2A2,0,0,0.0987
PDYN,GRM7,0,0,0.3504
PDYN,OPRD1,0,0,0.2370
PENK,GRM7,0,0,0.6816
PENK,MRGPRX1,0,0,0.5644
PENK,MTNR1A,0,0,0.4873
PF4,FGFR2,0,0,0.6994
PF4,GRM7,0,0,0.6210
PF4,LDLR,0,0,0.8247
PF4,MTNR1A,0,0,0.0746
PF4,PROCR,0,0,0.1488
PF4,SDC2,0,0,0.5767
PGF,NRP1,0,0,0.4881
PI3,PLD2,0,0,0.6080
PIP,NPTN,0,0,0.4121
PLA2G10,PLA2R1,0,0,0.4962
PLAU,IGF2R,0,0,0.6401
PLAU,ITGA3,0,0,0.6013
PLAU,ITGA5,0,0,0.4413
PLAU,ITGAM,0,0,0.4960
PLAU,ITGAV,0,0,0.5799
PLAU,ITGB1,0,0,0.5026
PLAU,ITGB5,0,0,0.6542
PLAU,LRP2,0,0,0.4256
PLG,F2RL1,0,0,0.4531
PLG,F3,0,0,0.3629
PLG,FLT1,0,0,0.2430
PLG,ITGA9,0,0,0.8314
PLG,ITGB1,0,0,0.7150
PLG,ITGB2,0,0,0.0383
SEMA4A,PLXNB2,0,0,0.1855
SEMA4A,PLXNB3,0,0,0.2089
PMCH,ADRA2A,0,0,0.0572
PMCH,GRM7,0,0,0.3104
PMCH,MCHR1,0,0,0.3416
PMCH,MTNR1A,0,0,0.5837
PNOC,MTNR1A,0,0,0.0582
PNOC,OPRL1,0,0,0.3841
POMC,ADCYAP1R1,0,0,0.0553
POMC,GPR20,0,0,0.4045
POMC,GRM7,0,0,0.4156
POMC,MC3R,0,0,0.4863
POMC,MTNR1A,0,0,0.0288
POMC,OPRD1,0,0,0.3375
POMC,RAMP2,0,0,0.5241
POMC,RAMP3,0,0,0.8625
PPY,ADRA2A,0,0,0.4473
PPY,GRM7,0,0,0.5962
PPY,MTNR1A,0,0,0.6310
PPY,NPY1R,0,0,0.5951
PRLH,PRLHR,0,0,0.4299
PRND,RPSA,0,0,0.3207
PROC,ITGAM,0,0,0.7477
PROC,ITGB2,0,0,0.2179
PROC,PROCR,0,0,0.0341
PROC,THBD,0,0,0.8350
PROK1,PROKR2,0,0,0.1613
PROS1,TYRO3,0,0,0.3689
PSAP,CD1B,0,0,0.7230
PSEN1,NCSTN,0,0,0.1058
PSEN1,NOTCH1,0,0,0.1369
PSEN1,NOTCH2,0,0,0.1755
PSPN,GFRA1,0,0,0.7730
PSPN,GFRA2,0,0,0.6962
PSPN,GFRA3,0,0,0.8564
PSPN,GFRA4,0,0,0.6138
PSPN,RET,0,0,0.5226
PSPN,SDC3,0,0,0.5777
PTDSS1,JMJD6,0,0,0.8075
PTGS2,ALOX5,0,0,0.4771
PTH2,ADCYAP1R1,0,0,0.1136
PTH2,ADRB3,0,0,0.0237
PTH2,GPR20,0,0,0.4114
PTH2,PTH1R,0,0,0.5062
PTH2,TSHR,0,0,0.6910
PTHLH,ADCYAP1R1,0,0,0.5002
PTHLH,ADRB2,0,0,0.5928
PTHLH,GPR84,0,0,0.6102
PTHLH,PRLHR,0,0,0.5112
PTHLH,RAMP2,0,0,0.6477
PTHLH,TSHR,0,0,0.4405
PTN,SDC1,0,0,0.1491
PTN,SDC3,0,0,0.2776
PVR,CD226,0,0,0.1957
PVR,CD96,0,0,0.2655
PVR,TIGIT,0,0,0.8706
PYY,ADRA2A,0,0,0.6681
PYY,MTNR1A,0,0,0.6784
PYY,NPY2R,0,0,0.1723
RAET1E,KLRK1,0,0,0.0135
RBP4,STRA6,0,0,0.1891
RELN,ITGA3,0,0,0.2601
RELN,ITGB1,0,0,0.2238
RELN,VLDLR,0,0,0.3309
RIMS1,CACNA1C,0,0,0.2458
RIMS1,SLC17A7,0,0,0.4642
RLN2,ADRB2,0,0,0.7083
RLN2,ADRB3,0,0,0.5765
RLN2,GPR20,0,0,0.5046
RLN2,GPR84,0,0,0.8560
RLN2,PTH1R,0,0,0.1309
RLN2,VIPR1,0,0,0.3602
RLN3,ADCYAP1R1,0,0,0.4863
RLN3,ADRA2A,0,0,0.6029
RLN3,ADRB2,0,0,0.7815
RLN3,GRM7,0,0,0.7715
RLN3,MTNR1A,0,0,0.5204
RLN3,PTH1R,0,0,0.1374
RLN3,RAMP2,0,0,0.4558
RLN3,RAMP3,0,0,0.3519
RLN3,RXFP1,0,0,0.2184
RLN3,RXFP4,0,0,0.6418
RNASE2,TLR2,0,0,0.6707
RPS27A,ERBB2,0,0,0.5229
RPS27A,RIPK1,0,0,0.2537
RPS27A,SMAD3,0,0,0.2203
RPS27A,TGFBR2,0,0,0.5726
RSPO1,FZD8,0,0,0.7833
RSPO1,LGR6,0,0,0.5529
RSPO1,LRP6,0,0,0.5415
RSPO3,FZD8,0,0,0.3118
RSPO3,LGR5,0,0,0.2428
RSPO3,LGR6,0,0,0.4065
RTN4,CNTNAP1,0,0,0.5391
RTN4,LINGO1,0,0,0.0607
RTN4,NGFR,0,0,0.6660
SAA1,FPR1,0,0,0.2363
SAA1,GRM7,0,0,0.5282
SCGB3A1,MARCO,0,0,0.0635
SCT,ADCYAP1R1,0,0,0.7834
SCT,ADRB2,0,0,0.7078
SCT,ADRB3,0,0,0.7059
SCT,RAMP3,0,0,0.2113
SELPLG,ESAM,0,0,0.2566
SELPLG,SELE,0,0,0.5725
SELPLG,SELL,0,0,0.4572
SELPLG,SELP,0,0,0.4315
SEMA3A,PLXNA2,0,0,0.1590
SEMA3A,PLXNA4,0,0,0.0477
SEMA3C,NRP1,0,0,0.5598
SEMA3C,NRP2,0,0,0.4672
SEMA3F,NRP1,0,0,0.7135
SEMA3F,NRP2,0,0,0.7896
SEMA3F,PLXNA1,0,0,0.5837
SEMA3F,PLXNA3,0,0,0.5106
SEMA4A,PLXND1,0,0,0.5747
SEMA4D,MET,0,0,0.6670
SEMA4D,PLXNB2,0,0,0.6583
SEMA5A,MET,0,0,0.8885
SEMA6D,KDR,0,0,0.2527
SEMA6D,PLXNA1,0,0,0.6691
SEMA7A,ITGA1,0,0,0.6273
SEMA7A,ITGB1,0,0,0.1060
SEMA7A,PLXNC1,0,0,0.6430
SERPING1,LRP1,0,0,0.5310
SERPING1,SELP,0,0,0.6043
SFRP1,FZD2,0,0,0.5329
SHH,SMO,0,0,0.1575
SLIT1,ROBO1,0,0,0.1607
SLIT2,DCC,0,0,0.5486
SLIT2,ROBO1,0,0,0.5709
SLIT2,SDC1,0,0,0.4289
SLIT3,ROBO2,0,0,0.5068
SOST,LRP5,0,0,0.2603
SPP1,CD44,0,0,0.1865
SPP1,ITGAV,0,0,0.3294
SPP1,S1PR1,0,0,0.6561
SST,ADRA2A,0,0,0.6453
SST,GRM7,0,0,0.7486
SST,MTNR1A,0,0,0.2615
TAC1,TACR1,0,0,0.3509
TAC3,TACR1,0,0,0.0987
TAC3,TACR2,0,0,0.3786
TAC3,TACR3,0,0,0.5586
TAC4,TACR2,0,0,0.4086
TAC4,TACR3,0,0,0.5686
TCN2,CNR1,0,0,0.7025
TCTN1,TMEM67,0,0,0.2213
TF,TFRC,0,0,0.3759
TGFB1,CAV1,0,0,0.0000
TGFB1,CXCR4,0,0,0.0386
TGFB1,ITGAV,0,0,0.5878
TGFB1,ITGB6,0,0,0.3910
TGFB1,SDC2,0,0,0.6110
TGFB1,SMAD3,0,1,0.9119
TGFB1,TGFBR3,0,0,0.0000
TGFB2,ENG,0,0,0.6143
TGFB2,TGFBR3,0,0,0.0000
TGM2,ITGA9,0,0,0.7481
TGM2,ITGB1,0,0,0.8127
TGM2,SDC4,0,0,0.8401
THBS1,CD36,0,0,0.7248
THBS1,ITGA6,0,0,0.7520
THBS1,ITGB3,0,0,0.4740
THBS1,SDC1,0,0,0.4148
THPO,MPL,0,1,0.9452
TIMP1,CD63,0,0,0.5179
TNC,ITGA9,0,0,0.8798
TNC,ITGB6,0,0,0.8862
TNC,SDC4,0,0,0.6147
TNFSF10,TNFRSF10A,0,0,0.6612
TNFSF10,TNFRSF10D,0,0,0.7081
TNFSF11,TNFRSF11A,0,0,0.5122
TNFSF11,TNFRSF11B,0,0,0.5497
TNFSF12,TNFRSF25,0,0,0.4895
TNFSF12,TNFRSF8,0,0,0.6115
TNFSF13B,TNFRSF13B,0,1,0.9444
TNFSF13B,TNFRSF13C,0,0,0.5704
TNFSF13B,TNFRSF17,0,0,0.2423
TNFSF13,FAS,0,0,0.7844
TNFSF13,TNFRSF11B,0,0,0.6583
TNFSF14,TNFRSF14,0,0,0.3320
TNFSF14,TNFRSF6B,0,0,0.5775
TNFSF18,TNFRSF18,0,0,0.3756
TNFSF4,TNFRSF4,0,0,0.4751
TNFSF4,TRAF2,0,0,0.5762
TNFSF9,TRAF2,0,0,0.7486
TNF,RIPK1,0,0,0.2494
TNF,SLC5A11,0,0,0.3408
TNF,TNFRSF21,0,0,0.6994
TPH1,HTR5A,0,0,0.7039
TRH,TRHR,0,0,0.5304
TSLP,IL7R,0,0,0.1982
UCN2,CRHR1,0,0,0.0617
UCN2,CRHR2,0,1,0.9009
UCN2,IL10RB,0,0,0.1578
VCAM1,ITGAD,0,0,0.2520
VCAM1,ITGB1,0,0,0.4147
VCAM1,ITGB7,0,0,0.3140
VEGFA,EPHB2,0,0,0.8965
VEGFA,GPC1,0,0,0.5209
VEGFA,ITGA9,0,0,0.5237
VEGFA,ITGAV,0,0,0.1531
VEGFA,ITGB3,0,0,0.5691
VEGFA,KDR,0,0,0.4100
VEGFA,NRP1,0,0,0.8389
VEGFA,NRP2,0,0,0.7858
VEGFA,RET,0,0,0.6353
VEGFA,SIRPA,0,0,0.7464
VEGFA,TYRO3,0,0,0.4768
VEGFC,KDR,0,0,0.4162
VEGFC,LYVE1,0,0,0.5966
VEGFC,VIPR2,0,0,0.4865
VIM,CD44,0,0,0.2458
WNT16,FZD6,0,0,0.0094
WNT1,FZD1,0,0,0.8563
WNT1,FZD7,0,0,0.1520
WNT1,FZD9,0,0,0.0938
WNT1,LRP5,0,0,0.3047
WNT1,RYK,0,0,0.4174
WNT2,FZD7,0,0,0.6611
WNT2,FZD8,0,0,0.7225
WNT2,FZD9,0,0,0.5154
WNT2,LRP6,0,0,0.4835
WNT3A,APCDD1,0,0,0.7603
WNT3A,FZD6,0,0,0.4735
WNT3A,FZD8,0,0,0.7702
WNT3A,LRP1,0,0,0.6279
WNT3A,RYK,0,0,0.4390
WNT3,FZD8,0,0,0.3099
WNT3,LRP6,0,0,0.3712
WNT5A,ADRB2,0,0,0.5164
WNT5A,FZD1,0,0,0.0913
WNT5A,FZD2,0,0,0.4087
WNT5A,FZD7,0,0,0.5035
WNT5A,FZD8,0,0,0.6093
WNT5A,LDLR,0,0,0.1979
WNT5A,LRP2,0,0,0.1262
WNT5A,MCAM,0,0,0.5559
WNT5A,ROR2,0,0,0.4743
WNT5A,RYK,0,0,0.5379
ZG16B,CXCR4,0,0,0.5614
ZG16B,TLR2,0,0,0.8104
ZG16B,TLR5,0,0,0.6392
MTf,PLG,0,0,0.3155
FYN,SPN,0,0,0.6900
TP53,TNFRSF10D,0,0,0.2777
SHP2,FCRL4,0,0,0.5823
TYROBP,TREM1,0,0,0.5112
FYN,THY1,0,0,0.7567
SYK,FCGR2A,0,0,0.1004
LGALS1,PTPRC,0,0,0.1383
SFTPD,SIRPA,0,0,0.4061
CD6,ALCAM,0,0,0.1020
ITGB2,THY1,0,0,0.0323
CD48,CD244,0,0,0.7037
CEACAM1,CD209,0,0,0.8361
DLL4,NOTCH3,0,0,0.5172
NECTIN2,NECTIN3,0,0,0.5828
DSC2,DSG2,0,0,0.8089
FCER2,CR2,0,0,0.1553
WNT5A,FZD3,0,0,0.3747
CEACAM5,CD8A,0,0,0.2326
CD274,CD80,0,0,0.3798
HLA-F,LILRB2,0,0,0.1382
CD47,SIRPG,0,0,0.0258
WNT2,FZD4,0,0,0.3061
CD200,CD200R1,0,0,0.4002
